iter	Passed	Remaining
0	114	11330
1	116	5705
2	117	3810
3	119	2873
4	122	2333
5	125	1973
6	127	1693
7	128	1481
8	130	1317
9	131	1186
10	133	1076
11	134	985
12	135	909
13	141	869
14	143	810
15	144	758
16	145	711
17	147	670
18	148	632
19	149	598
20	150	567
21	152	539
22	154	518
23	156	496
24	158	475
25	159	454
26	161	436
27	163	420
28	164	403
29	165	387
30	167	372
31	169	360
32	171	347
33	172	335
34	173	322
35	175	311
36	176	300
37	177	289
38	178	279
39	180	270
40	181	261
41	183	253
42	185	245
43	186	237
44	188	229
45	189	222
46	191	215
47	193	210
48	195	203
49	196	196
50	198	191
51	200	184
52	201	178
53	203	172
54	204	167
55	205	161
56	206	156
57	208	150
58	209	145
59	210	140
60	212	135
61	214	131
62	215	126
63	216	122
64	218	117
65	219	113
66	220	108
67	222	104
68	223	100
69	225	96
70	226	92
71	227	88
72	231	85
73	232	81
74	233	77
75	234	74
76	236	70
77	237	66
78	238	63
79	239	59
80	241	56
81	242	53
82	243	49
83	246	46
84	247	43
85	248	40
86	250	37
87	251	34
88	253	31
89	255	28
90	257	25
91	258	22
92	260	19
93	261	16
94	263	13
95	264	11
96	265	8
97	267	5
98	268	2
99	269	0
